moisture,moisture^2,temp
638.0,407044.0,16
522.0,272484.0,18
741.0,549081.0,22
798.0,636804.0,32
690.0,476100.0,28
558.0,311364.0,23
578.0,334084.0,12
673.0,452929.0,35
642.0,412164.0,45
723.0,522729.0,11
671.0,450241.0,23
758.0,574564.0,34
507.0,257049.0,45
586.0,343396.0,33
703.0,494209.0,45
716.0,512656.0,25
724.0,524176.0,11
828.0,685584.0,41
633.0,400689.0,23
783.0,613089.0,18
635.0,403225.0,36
525.0,275625.0,33
636.0,404496.0,24
813.0,660969.0,15
736.0,541696.0,44
833.0,693889.0,13
808.0,652864.0,29
714.0,509796.0,14
806.0,649636.0,28
681.0,463761.0,31
661.0,436921.0,35
546.0,298116.0,32
759.0,576081.0,10
803.0,644809.0,21
670.0,448900.0,22
796.0,633616.0,21
665.0,442225.0,32
687.0,471969.0,11
573.0,328329.0,13
812.0,659344.0,38
698.0,487204.0,45
675.0,455625.0,39
700.0,490000.0,38
749.0,561001.0,38
537.0,288369.0,44
748.0,559504.0,27
824.0,678976.0,37
839.0,703921.0,29
740.0,547600.0,31
533.0,284089.0,42
775.0,600625.0,40
663.0,439569.0,24
639.0,408321.0,14
612.0,374544.0,31
580.0,336400.0,14
632.0,399424.0,14
535.0,286225.0,17
818.0,669124.0,15
503.0,253009.0,44
788.0,620944.0,12
513.0,263169.0,27
729.0,531441.0,41
659.0,434281.0,29
629.0,395641.0,41
641.0,410881.0,35
676.0,456976.0,30
739.0,546121.0,14
773.0,597529.0,20
792.0,627264.0,15
509.0,259081.0,19
682.0,465124.0,40
637.0,405769.0,29
769.0,591361.0,13
611.0,373321.0,12
574.0,329476.0,32
623.0,388129.0,32
539.0,290521.0,26
595.0,354025.0,30
683.0,466489.0,39
760.0,577600.0,18
697.0,485809.0,25
766.0,586756.0,39
768.0,589824.0,17
734.0,538756.0,16
579.0,335241.0,45
737.0,543169.0,34
699.0,488601.0,22
757.0,573049.0,43
624.0,389376.0,15
545.0,297025.0,29
850.0,722500.0,16
722.0,521284.0,26
795.0,632025.0,15
817.0,667489.0,18
830.0,688900.0,44
843.0,710649.0,41
553.0,305809.0,35
837.0,700569.0,30
588.0,345744.0,18
733.0,537289.0,26
89.0,7921.0,42
76.0,5776.0,35
434.0,188356.0,19
487.0,237169.0,16
493.0,243049.0,18
421.0,177241.0,39
379.0,143641.0,23
177.0,31329.0,12
482.0,232324.0,27
168.0,28224.0,10
208.0,43264.0,39
162.0,26244.0,29
306.0,93636.0,25
394.0,155236.0,27
184.0,33856.0,29
429.0,184041.0,17
81.0,6561.0,20
158.0,24964.0,17
435.0,189225.0,10
401.0,160801.0,17
271.0,73441.0,33
161.0,25921.0,18
124.0,15376.0,40
26.0,676.0,23
175.0,30625.0,15
293.0,85849.0,25
354.0,125316.0,20
245.0,60025.0,43
462.0,213444.0,32
466.0,217156.0,41
75.0,5625.0,37
209.0,43681.0,43
304.0,92416.0,43
256.0,65536.0,40
141.0,19881.0,43
302.0,91204.0,23
87.0,7569.0,12
72.0,5184.0,13
4.0,16.0,42
178.0,31684.0,39
36.0,1296.0,16
39.0,1521.0,38
107.0,11449.0,31
21.0,441.0,37
59.0,3481.0,20
206.0,42436.0,37
143.0,20449.0,43
52.0,2704.0,44
149.0,22201.0,24
74.0,5476.0,20
861.0,741321.0,33
938.0,879844.0,14
981.0,962361.0,36
1019.0,1038361.0,37
876.0,767376.0,40
1020.0,1040400.0,27
933.0,870489.0,42
889.0,790321.0,39
865.0,748225.0,17
920.0,846400.0,10
926.0,857476.0,18
923.0,851929.0,10
853.0,727609.0,29
922.0,850084.0,23
998.0,996004.0,28
966.0,933156.0,16
950.0,902500.0,13
1001.0,1002001.0,36
930.0,864900.0,18
999.0,998001.0,30
873.0,762129.0,44
969.0,938961.0,39
881.0,776161.0,26
896.0,802816.0,42
857.0,734449.0,20
1010.0,1020100.0,10
947.0,896809.0,41
859.0,737881.0,20
1005.0,1010025.0,43
937.0,877969.0,28
893.0,797449.0,39
872.0,760384.0,10
878.0,770884.0,29
883.0,779689.0,40
888.0,788544.0,44
1009.0,1018081.0,21
917.0,840889.0,33
974.0,948676.0,28
858.0,736164.0,19
918.0,842724.0,19
1021.0,1042441.0,22
986.0,972196.0,36
968.0,937024.0,17
1015.0,1030225.0,35
914.0,835396.0,35
941.0,885481.0,13
902.0,813604.0,45
894.0,799236.0,42
1022.0,1044484.0,45
979.0,958441.0,10
